,totals,totalsNorm,tweetsPerHillaryVote,tweetsPerTrumpVote,votingRecord
Alabama,494,131.15704675748717,677.1325219622588,374.73781627985477,-0.15630202972167362
Alaska,150,270.48129441528255,1288.0622391673967,918.0656967812616,-0.08462999060528306
Arizona,1321,249.2650831320752,1137.6485897377381,1054.773990119778,-0.017215329746004343
Arkansas,280,122.63516694807058,735.8854541727333,408.83551962994545,-0.13331231016185652
California,8435,279.7014598924023,963.5828512182383,1881.2126294379111,0.14159088089015298
Colorado,1484,346.79598137303634,1108.397379880048,1234.1120547134099,0.03187204630427426
Connecticut,742,262.82623926822373,826.6746288877104,1102.173896897722,0.07947022447911167
Delaware,218,291.5253058675486,925.285331680836,1177.5699924916407,0.06750014375674487
Florida,7327,444.9849071346804,1626.4241200006659,1586.65675159586,-0.006857334632111911
Georgia,1485,190.41325060807222,790.7504034957026,710.831054844565,-0.027073430401777093
Hawaii,308,274.8672293115558,1154.0291729582489,2390.432062834214,0.12319406429572859
Idaho,232,186.20075812601777,1222.5647511395673,567.1608952341372,-0.17599984590282086
Illinois,2007,203.23165674811122,649.3613642606647,935.2217948150409,0.0956630749243324
Indiana,750,148.29165052759205,725.9521103911817,481.6071036405644,-0.10363806872072351
Iowa,390,162.2321817066992,596.6322404764492,486.90171951214944,-0.06127967081010427
Kansas,384,175.15547328924646,899.2868935960937,572.2648274710962,-0.11130263672846066
Kentucky,579,168.98473446194123,920.722457040903,481.30836071692505,-0.16755960068235978
Louisiana,436,122.20700240517957,558.8640191551925,369.91849914901775,-0.1116915943725357
Maine,345,320.4041736126267,964.4010231036941,1028.030978000137,0.020563446991683387
Maryland,953,204.16824577486346,567.9623917116825,1010.4233705730363,0.15741286054280476
Massachusetts,1635,300.9012129355499,819.4683630079451,1498.7721068885764,0.16642560829434652
Michigan,1692,218.68254622479867,745.7558689708702,742.2540395158152,-0.001383438519379554
Minnesota,960,226.86352433902957,701.9001020679732,725.6504587093551,0.010578693403163142
Mississippi,151,66.59498517710296,311.2561349408716,215.49448134331553,-0.0950777926452675
Missouri,888,188.6897895237644,829.0790127237486,556.910551259916,-0.11122561880370246
Montana,151,185.2967631968723,849.7037291302072,540.7534737143676,-0.12459182559034199
Nebraska,234,163.2037026316946,822.5129528215006,471.8112916136551,-0.14748802301032715
Nevada,580,256.33874900502997,1075.5479731483886,1132.6841881193145,0.012022287328335907
New Hampshire,245,228.07522200097372,702.9604677986722,708.5225136643627,0.0025469951322231177
New Jersey,1619,232.62440125079797,753.6268583488729,1010.6540036318623,0.07850103675192541
New Mexico,466,293.0168918579032,1209.6543918761065,1457.7669887726915,0.04122797971769773
New York,4527,290.8498894616226,993.6077244605283,1605.5844689228788,0.11157212492603472
North Carolina,1851,235.8542255240398,845.4695439123452,783.4486214732643,-0.02208377909059911
North Dakota,56,96.27932006168754,597.2823652381663,258.3097318191463,-0.21153254326981763
Ohio,1707,189.62029397033012,712.9837387914946,600.8437155161643,-0.0496368610298748
Oklahoma,533,179.95005288775945,1267.9155515908415,561.5633586756799,-0.17851889289865774
Oregon,1911,592.6062830530728,1906.9838919236088,2442.475297257296,0.0681304961829457
Pennsylvania,2134,211.0902087181641,729.2134029013399,718.3412309352608,-0.004381259383573033
Rhode Island,207,244.09082065220596,819.7208197208197,1146.5412671773483,0.08487992972071057
South Carolina,739,191.27743821790511,863.9505806238916,639.61142091538,-0.07765398092609341
South Dakota,50,76.66747934194768,425.684074307412,219.56692619477343,-0.16907172549362356
Tennessee,986,191.47865605287143,1132.4286920218906,647.4383177109838,-0.12666138320219505
Texas,3900,189.61485285231058,1005.707259762323,832.4356191090505,-0.039244391618070584
Utah,307,144.16908826905052,988.1677374499477,595.8492404377843,-0.09606028615920398
Vermont,201,397.1813953120739,1125.5900948071658,2107.6030995396827,0.1644133373907751
Virginia,1425,217.8337844148717,719.1619567866935,805.3381770421539,0.03241213846279667
Washington,3717,656.8876356321867,2132.8751983969864,3042.364744910362,0.09206871359239602
West Virginia,102,70.05330919470288,540.271406930305,208.43082242306963,-0.2064354266452569
Wisconsin,935,208.19347074102404,676.2934202075027,665.3459371913435,-0.005065224676381652
Wyoming,57,127.63098969995521,1018.3481321351367,326.7992592550124,-0.26521719659650694
