,Location,Times,Tweets
0,Washington,2018-02-27 00:00:00,8
1,Washington,2018-02-27 00:15:00,5
2,Washington,2018-02-27 00:30:00,6
3,Washington,2018-02-27 00:45:00,11
4,Washington,2018-02-27 01:00:00,8
5,Washington,2018-02-27 01:15:00,5
6,Washington,2018-02-27 01:30:00,7
7,Washington,2018-02-27 01:45:00,6
8,Washington,2018-02-27 02:00:00,4
9,Washington,2018-02-27 02:15:00,7
10,Washington,2018-02-27 02:30:00,2
11,Washington,2018-02-27 02:45:00,2
12,Washington,2018-02-27 03:00:00,4
13,Washington,2018-02-27 03:15:00,1
14,Washington,2018-02-27 03:30:00,1
15,Washington,2018-02-27 03:45:00,5
16,Washington,2018-02-27 04:00:00,2
17,Washington,2018-02-27 04:15:00,0
18,Washington,2018-02-27 04:30:00,2
19,Washington,2018-02-27 04:45:00,4
20,Washington,2018-02-27 05:00:00,3
21,Washington,2018-02-27 05:15:00,7
22,Washington,2018-02-27 05:30:00,0
23,Washington,2018-02-27 05:45:00,4
24,Washington,2018-02-27 06:00:00,3
25,Washington,2018-02-27 06:15:00,3
26,Washington,2018-02-27 06:30:00,0
27,Washington,2018-02-27 06:45:00,4
28,Washington,2018-02-27 07:00:00,2
29,Washington,2018-02-27 07:15:00,1
30,Washington,2018-02-27 07:30:00,4
31,Washington,2018-02-27 07:45:00,4
32,Washington,2018-02-27 08:00:00,3
33,Washington,2018-02-27 08:15:00,3
34,Washington,2018-02-27 08:30:00,5
35,Washington,2018-02-27 08:45:00,4
36,Washington,2018-02-27 09:00:00,2
37,Washington,2018-02-27 09:15:00,8
38,Washington,2018-02-27 09:30:00,12
39,Washington,2018-02-27 09:45:00,7
40,Washington,2018-02-27 10:00:00,10
41,Washington,2018-02-27 10:15:00,11
42,Washington,2018-02-27 10:30:00,13
43,Washington,2018-02-27 10:45:00,13
44,Washington,2018-02-27 11:00:00,18
45,Washington,2018-02-27 11:15:00,17
46,Washington,2018-02-27 11:30:00,20
47,Washington,2018-02-27 11:45:00,14
48,Washington,2018-02-27 12:00:00,12
49,Washington,2018-02-27 12:15:00,11
50,Washington,2018-02-27 12:30:00,8
51,Washington,2018-02-27 12:45:00,11
52,Washington,2018-02-27 13:00:00,5
53,Washington,2018-02-27 13:15:00,12
54,Washington,2018-02-27 13:30:00,8
55,Washington,2018-02-27 13:45:00,11
56,Washington,2018-02-27 14:00:00,12
57,Washington,2018-02-27 14:15:00,8
58,Washington,2018-02-27 14:30:00,18
59,Washington,2018-02-27 14:45:00,5
60,Washington,2018-02-27 15:00:00,15
61,Washington,2018-02-27 15:15:00,16
62,Washington,2018-02-27 15:30:00,22
63,Washington,2018-02-27 15:45:00,14
64,Washington,2018-02-27 16:00:00,9
65,Washington,2018-02-27 16:15:00,10
66,Washington,2018-02-27 16:30:00,15
67,Washington,2018-02-27 16:45:00,9
68,Washington,2018-02-27 17:00:00,22
69,Washington,2018-02-27 17:15:00,11
70,Washington,2018-02-27 17:30:00,11
71,Washington,2018-02-27 17:45:00,9
72,Washington,2018-02-27 18:00:00,16
73,Washington,2018-02-27 18:15:00,14
74,Washington,2018-02-27 18:30:00,10
75,Washington,2018-02-27 18:45:00,5
76,Washington,2018-02-27 19:00:00,19
77,Washington,2018-02-27 19:15:00,10
78,Washington,2018-02-27 19:30:00,9
79,Washington,2018-02-27 19:45:00,7
80,Washington,2018-02-27 20:00:00,5
81,Washington,2018-02-27 20:15:00,4
82,Washington,2018-02-27 20:30:00,8
83,Washington,2018-02-27 20:45:00,5
84,Washington,2018-02-27 21:00:00,6
85,Washington,2018-02-27 21:15:00,9
86,Washington,2018-02-27 21:30:00,17
87,Washington,2018-02-27 21:45:00,7
88,Washington,2018-02-27 22:00:00,7
89,Washington,2018-02-27 22:15:00,7
90,Washington,2018-02-27 22:30:00,10
91,Washington,2018-02-27 22:45:00,9
92,Washington,2018-02-27 23:00:00,6
93,Washington,2018-02-27 23:15:00,8
94,Washington,2018-02-27 23:30:00,6
95,Washington,2018-02-27 23:45:00,5
96,Washington,2018-02-28 00:00:00,3
97,Washington,2018-02-28 00:15:00,7
98,Washington,2018-02-28 00:30:00,6
99,Washington,2018-02-28 00:45:00,4
100,Washington,2018-02-28 01:00:00,3
101,Washington,2018-02-28 01:15:00,8
102,Washington,2018-02-28 01:30:00,0
103,Washington,2018-02-28 01:45:00,4
104,Washington,2018-02-28 02:00:00,9
